"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,94,2,245,418,10,1
16,136,1,100,0,26,3
16,106,2,245,418,8,1
16,96,2,245,418,6,1
16,130,1,100,0,27,3
16,13479,2,204,319,11,153
16,426,2,245,418,7,1
16,90,2,245,418,9,1
16,108,1,100,0,23,3
16,106,2,245,418,7,1
16,98,2,245,418,9,1
16,160,1,100,0,26,3
16,106,2,245,418,7,1
16,118,1,100,0,21,3
16,130,1,100,0,4,3
16,96,2,245,418,6,1
16,104,2,245,418,9,1
16,13855,2,204,319,18,157
16,428,2,245,418,7,1
16,136,2,245,418,10,1
16,136,2,245,418,9,1
16,108,2,245,418,7,1
16,138,1,100,0,19,3
16,116,2,245,418,8,1
16,128,1,100,0,4,3
16,94,2,245,418,8,1
16,94,2,245,418,7,1
16,534,2,245,418,7,1
16,140,2,245,418,9,1
16,100,2,245,418,7,1
16,132,2,245,418,9,1
16,110,1,100,0,5,3
16,112,2,245,418,8,1
16,678,2,204,317,10,63
16,407,2,245,418,9,4
16,130,2,245,418,9,1
16,138,2,245,418,10,1
16,92,2,245,418,7,1
16,102,2,245,418,8,1
16,276,1,100,0,9,3
16,102,2,245,418,6,1
16,130,1,100,0,26,3
16,120,2,245,418,8,1
16,122,1,100,0,16,3
16,94,2,245,418,7,1
16,126,1,100,0,5,3
16,100,2,245,418,8,1
16,122,1,100,0,23,3
16,114,2,245,418,7,1
16,152,2,245,418,7,1
16,442,2,245,418,6,1
16,94,2,245,418,6,1
16,464,2,245,418,7,4
16,156,1,100,0,27,3
16,134,1,100,0,4,3
16,88,2,245,418,8,1
16,106,2,245,418,10,1
16,112,1,100,0,25,3
16,452,2,245,418,6,1
16,106,2,245,418,10,1
16,116,2,245,418,9,1
16,16,2,245,418,7,2
16,132,1,100,0,5,3
16,94,2,245,418,7,1
16,158,2,245,418,8,1
16,110,2,245,418,8,1
16,98,2,245,418,10,1
16,414,2,245,418,9,4
16,90,2,245,418,7,1
16,104,2,245,418,6,1
16,108,2,245,418,7,1
16,100,2,245,418,7,1
16,96,2,245,418,8,1
16,120,2,245,418,7,1
16,116,1,100,0,29,3
16,110,2,245,418,9,1
16,122,2,245,418,7,1
16,6755,2,204,319,12,335
16,106,2,245,418,7,1
16,102,2,245,418,6,1
16,90,2,245,418,6,1
16,111,2,245,418,7,1
16,126,1,100,0,29,3
16,138,1,100,0,20,3
16,136,2,245,418,7,1
16,140,1,100,0,28,3
16,94,2,245,418,7,1
16,120,2,245,418,6,1
16,88,2,245,418,7,1
16,116,1,100,0,25,3
16,262,2,245,418,6,4
16,208,1,100,0,5,3
16,128,2,245,418,5,1
16,128,2,245,418,8,1
16,140,1,100,0,29,3
16,120,2,245,418,7,1
16,122,1,100,0,4,3
16,432,2,245,418,9,5
16,148,1,100,0,18,3
16,140,1,100,0,28,3
16,152,2,245,418,7,1
16,116,1,100,0,28,3
16,104,2,245,418,9,1
16,146,1,100,0,25,3
16,90,2,245,418,7,1
16,124,1,100,0,19,3
16,92,2,245,418,10,1
16,116,1,100,0,5,3
16,94,2,245,418,9,1
16,146,1,100,0,23,3
16,98,2,245,418,7,1
16,102,2,245,418,6,1
16,126,1,100,0,29,3
16,12,1,104,0,17,22
16,122,2,245,418,7,1
16,210,2,245,418,7,1
16,134,1,100,0,21,3
16,13881,2,204,319,12,157
16,106,2,245,418,10,1
16,506,2,245,418,7,5
16,114,2,245,418,10,1
16,124,1,100,0,29,3
16,112,1,100,0,27,3
16,140,2,245,418,9,1
16,136,1,100,0,29,3
16,138,1,100,0,18,3
16,531,2,204,317,13,61
16,94,2,245,418,6,1
16,272,1,100,0,19,280
16,132,1,100,0,27,3
16,138,1,100,0,28,3
16,94,2,245,418,6,1
16,142,1,100,0,4,3
16,13824,2,204,319,11,157
